City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
22,1820000,0,26,1119,2017,150000,0,2,3,1201,126,1,2025,4,6
78,1295000,0,25,1101,2014,118000,0,0,6,1968,150,1,2025,4,6
76,1890000,0,24,1052,2021,75000,0,4,6,1200,101,1,2025,4,6
77,4735000,0,27,1139,2023,28568,0,0,6,1801,201,0,2025,4,6
77,1925000,0,27,1131,2016,200000,0,0,6,1801,176,1,2025,4,6
77,2069000,0,24,1053,2023,18151,0,2,6,1401,126,1,2025,4,6
52,1750000,0,25,1095,2017,83000,0,2,6,1201,126,1,2025,4,6
77,934750,0,24,1042,2015,214000,0,0,6,1401,101,1,2025,4,6
77,4250000,0,28,944,2020,176000,0,0,3,1968,204,1,2025,4,6
77,1260000,0,26,1120,2011,138000,0,0,3,1801,126,1,2025,4,6
43,3450000,0,25,1110,2024,9000,0,0,6,1801,201,0,2025,4,6
78,4650000,0,26,1114,2024,6250,0,2,6,,,3,2025,4,6
77,1290000,0,27,1131,2013,290000,0,0,6,1968,177,1,2025,4,6
6,2025000,0,27,1133,2017,186000,0,2,6,1801,251,0,2025,4,6
44,3160000,0,25,1110,2023,20000,0,0,6,1801,201,0,2025,4,6
77,2625000,0,25,1110,2022,109000,0,0,6,1801,201,0,2025,4,6
22,3175000,0,26,1125,2021,140000,0,0,3,1801,201,0,2025,4,6
77,4990000,0,27,1139,2023,7200,0,0,6,,,3,2025,4,6
78,590000,0,25,1108,2005,207000,0,2,6,1984,200,0,2025,4,6
78,3950000,0,27,1142,2019,121000,0,2,6,1801,226,0,2025,4,6
67,930000,0,24,1062,2009,63750,2,2,3,1390,125,1,2025,4,6
29,1680000,0,25,1096,2016,165000,0,2,6,1201,126,1,2025,4,6
77,850000,0,23,690,2013,206000,2,0,3,1598,90,1,2025,4,6
49,2975000,0,25,1110,2022,10000,0,0,6,1801,201,0,2025,4,6
77,929900,0,24,1072,2012,153000,0,0,3,1401,101,1,2025,4,6
77,1814950,0,24,1053,2022,41000,0,2,6,1401,126,1,2025,4,6
21,785000,0,27,1131,2007,400000,0,0,6,1968,140,1,2025,4,6
77,1725000,0,27,1132,2018,260000,0,0,6,1801,176,0,2025,4,6
77,1015000,0,24,1057,2017,239000,0,2,3,1200,101,1,2025,4,6
4,1200000,0,27,1131,2011,251000,0,0,6,1968,170,1,2025,4,6
6,1095000,0,25,1113,2010,221000,0,2,6,1801,201,0,2025,4,6
